PName,PNumber,PLocation,PHeight,PWeight,PBirth,PContract,PCurrent_salary,PTeam
尼古拉-约基奇,15,C,2.13米/7尺0,113公斤/250磅,1995-02-19,5年1.48亿美元，2018年夏天签，2023年夏天到期,2548,丹佛掘金
加里-哈里斯,14,G,1.93米/6尺4,95公斤/210磅,1994-09-14,4年731万美元，2014年夏天签，2018年夏天到期，2016-17赛季、2017-18赛季球队选项（已执行），2017年10月以4年8400万美元提前续约，2018年夏天生效，2022年夏天到期，,1652,丹佛掘金
梅森-普拉姆利,24,F-C,2.11米/6尺11,116公斤/255磅,1990-03-05,3年4100万美元，2017年夏天签，2020年夏天到期,1291,丹佛掘金
威尔-巴顿,5,G,1.98米/6尺6,79公斤/175磅,1991-01-06,4年5300万美元，2018年夏天签，2020年夏天到期，2021-22赛季球员选项,1183,丹佛掘金
贾马尔-默里,27,G,1.93米/6尺4,94公斤/207磅,1997-02-23,4年1451万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队保障,350,丹佛掘金
特雷-莱尔斯,7,F,2.08米/6尺10,106公斤/234磅,1995-11-05,4年1039万美元，2015年夏天签，2019年夏天到期，2017-18赛季、2018-19赛季球队选项,336,丹佛掘金
迈克尔-波特,1,F,2.08米/6尺10,98公斤/215磅,1998-06-29,4年1509万美元，2018年夏天签，2022年夏天到期，其中2020-21、2021-22赛季球队选项,289,丹佛掘金
胡安-埃尔南戈麦斯,41,F,2.06米/6尺9,104公斤/230磅,1995-09-28,4年955万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,217,丹佛掘金
以赛亚-托马斯,0,G,1.75米/5尺9,84公斤/185磅,1989-02-07,1年203万美元，2018年夏天签，2019年夏天到期,203,丹佛掘金
托里-克雷格,3,F,1.98米/6尺6,98公斤/215磅,1990-12-19,2年410万美元，2018年夏天签，2020年夏天到期,200,丹佛掘金
泰勒-莱登,20,F,2.06米/6尺9,100公斤/220磅,1996-04-09,4年948万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,187,丹佛掘金
马利克-比斯利,25,G,1.96米/6尺5,89公斤/196磅,1996-11-26,4年783万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,177,丹佛掘金
蒙特-莫里斯,11,G,1.88米/6尺2,79公斤/175磅,1995-06-27,3年480万美元，2018年夏天签，2021年夏天到期，其中294万受保障，2020-21赛季无保障,135,丹佛掘金
贾里德-范德比尔特,8,F,2.06米/6尺9,97公斤/214磅,1999-04-03,3年392万美元，2018年夏天签，2021年夏天到期，其中226万受保障，2020-21赛季无保障,84,丹佛掘金
布兰登-古德温,6,G,1.88米/6尺2,82公斤/180磅,1995-10-02,双向合同,7,丹佛掘金
托马斯-韦尔什,45,C,2.13米/7尺0,116公斤/255磅,1996-02-03,双向合同,7,丹佛掘金
达米安-利拉德,0,G,1.91米/6尺3,88公斤/195磅,1990-07-15,5年1.4亿美元，2015年夏天签，2016年夏天生效，2021年夏天到期,2798,波特兰开拓者
CJ-麦科勒姆,3,G,1.91米/6尺3,86公斤/190磅,1991-09-19,4年1047万美元，2013年夏天签，2017年夏天到期；2016年夏天以4年1.07亿提前续约，2017年夏天生效，2021年夏天到期,2576,波特兰开拓者
埃文-特纳,1,G-F,2.01米/6尺7,100公斤/220磅,1988-10-27,4年7000万美元，2016年夏天签，2020年夏天到期,1787,波特兰开拓者
优素福-努尔基奇,27,C,2.13米/7尺0,127公斤/280磅,1994-08-23,4年4800万美元，2018年夏天签，2022年夏天到期，2021-22赛季交易保证金400万,1111,波特兰开拓者
迈耶斯-伦纳德,11,F-C,2.16米/7尺1,116公斤/255磅,1992-02-27,4年4100万美元，2016年夏天签，2020年夏天到期,1060,波特兰开拓者
莫里斯-哈克利斯,4,F,2.06米/6尺9,100公斤/220磅,1993-05-11,4年4200万，2016年夏天签，2020年夏天到期,1034,波特兰开拓者
艾尔-法鲁克-阿米奴,8,F,2.06米/6尺9,100公斤/220磅,1990-09-21,4年3000万美元，2015年夏天签，2019年夏天到期,696,波特兰开拓者
扎克-科林斯,33,F-C,2.13米/7尺0,104公斤/230磅,1997-11-19,4年1633万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,363,波特兰开拓者
罗德尼-胡德,5,G,2.03米/6尺8,93公斤/206磅,1992-10-20,1年347万美元，2018年夏天签，2019年夏天到期,347,波特兰开拓者
