PName,PNumber,PLocation,PHeight,PWeight,PBirth,PContract,PCurrent_salary,PTeam
哈桑-怀特塞德,21,C,2.13米/7尺0,120公斤/265磅,1989-06-13,4年9842万美元，2016年夏天签，2020年夏天到期，2019-2020赛季球员选项,2543,迈阿密热火
莱恩-安德森,31,F,2.08米/6尺10,109公斤/240磅,1988-05-06,4年8000万美元，2016年夏天签，2020年夏天到期。,2042,迈阿密热火
戈兰-德拉季奇,7,G,1.91米/6尺3,86公斤/190磅,1986-05-06,5年9000万美元，2015年夏天签，2020年夏天到期，2019-20赛季球员选项,1811,迈阿密热火
詹姆斯-约翰逊,16,F,2.06米/6尺9,113公斤/250磅,1987-02-20,4年5912万美元，2017年夏天签，2021年夏天到期，2020-21赛季球员选项，94.6万可能拿到的激励奖金，其中2017-18赛季22万，另有其他体重控制奖金,1443,迈阿密热火
迪昂-韦特斯,11,G,1.93米/6尺4,100公斤/220磅,1991-12-10,4年5200万美元，2017年夏天签，2021年夏天到期，470万美元不易达到的激励奖金，2017-18赛季需至少出战70场比赛可获得110万美元激励奖金,1155,迈阿密热火
凯利-奥利尼克,9,F,2.13米/7尺0,108公斤/238磅,1991-04-19,4年5000万美元，2017年夏天签，2021年夏天到期，560万不易达到的激励奖金，剩余合同价值的5%或200万美元的交易金（两者取其小），2020-2021赛季球员选项,1114,迈阿密热火
约什-理查德森,0,F,1.98米/6尺6,91公斤/200磅,1993-09-15,3年287万美元，2015年夏天签，2018年夏天到期；2017年9月以4年4197万美元提前续约，2018年夏天生效，2022年夏天到期，2021-22赛季球员选项,937,迈阿密热火
贾斯蒂斯-温斯洛,20,F,2.01米/6尺7,102公斤/225磅,1996-03-26,4年1123万美元，2015年夏天签，2019年夏天到期，2018年10月以3年3900万美元提前续约，2019年夏天生效，2022年夏天到期,345,迈阿密热火
巴姆-阿德巴约,13,C-F,2.08米/6尺10,116公斤/255磅,1997-07-18,4年1402万美元，2017年夏天签，2021年夏天到期，2019-20、2020-21赛季球队选项,296,迈阿密热火
德维恩-韦德,3,G,1.93米/6尺4,100公斤/220磅,1982-01-17,1年240万美元，2018年夏天签，2019年夏天到期,240,迈阿密热火
犹多尼斯-哈斯勒姆,40,F,2.03米/6尺8,107公斤/235磅,1980-06-09,1年240万美元，2018年夏天签，2019年夏天到期,240,迈阿密热火
小德里克-琼斯,5,F-G,2.01米/6尺7,86公斤/190磅,1997-02-15,2年316万美元，2018年夏天签，2020年夏天到期，2019年无保证,151,迈阿密热火
罗德尼-麦格鲁德,17,G-F,1.93米/6尺4,93公斤/205磅,1991-07-29,3年250万美元，2016年夏天签，2019年夏天到期；2016-17赛季10万美元保障，2016年7月30日之前不被裁则转为15万美元保障，常规赛开赛前不被裁则转为30万美元保障，2016年11月3,105,迈阿密热火
亚特-马滕,00,F,2.03米/6尺8,109公斤/240磅,1996-08-14,双向合同,7,迈阿密热火
邓肯-鲁宾逊,55,F,2.03米/6尺8,98公斤/215磅,1994-04-22,双向合同,7,迈阿密热火
查尔斯-库克,25,G-F,1.96米/6尺5,89公斤/196磅,1994-07-01,,,迈阿密热火
